Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1977,5,-0.109,-0.082,-0.049,-0.114,
1977,6,-0.032,-0.081,-0.049,-0.114,
1977,7,-0.100,-0.081,-0.048,-0.113,
1977,8,-0.053,-0.080,-0.048,-0.113,
1977,9,-0.077,-0.080,-0.048,-0.112,
1977,10,-0.135,-0.080,-0.047,-0.112,
1977,11,0.046,-0.079,-0.047,-0.111,
1977,12,0.037,-0.079,-0.047,-0.111,
1978,1,0.056,-0.078,-0.046,-0.110,
1978,2,-0.014,-0.078,-0.046,-0.110,
1978,3,0.029,-0.077,-0.045,-0.109,
1978,4,0.004,-0.077,-0.045,-0.109,
1979,11,-0.076,-0.068,-0.038,-0.099,
1979,12,-0.098,-0.068,-0.038,-0.098,
1980,1,0.044,-0.067,-0.037,-0.097,
1980,4,-0.048,-0.066,-0.036,-0.096,
1980,5,-0.049,-0.066,-0.036,-0.095,
1994,4,-0.048,0.010,0.027,-0.007,
1994,5,0.025,0.010,0.028,-0.007,
1994,6,-0.015,0.011,0.028,-0.006,
1994,7,-0.016,0.011,0.028,-0.006,
1994,8,-0.031,0.012,0.029,-0.005,
1994,9,-0.035,0.012,0.029,-0.005,
1994,10,-0.015,0.013,0.030,-0.004,
1994,11,-0.024,0.013,0.030,-0.004,
1994,12,0.065,0.013,0.030,-0.003,
1995,1,0.047,0.014,0.031,-0.003,
1995,2,-0.010,0.014,0.031,-0.002,
1995,3,0.029,0.015,0.031,-0.002,
1995,4,-0.023,0.015,0.032,-0.001,
1995,5,0.053,0.016,0.032,-0.001,
1995,6,0.010,0.016,0.033,-0.000,
1995,7,0.059,0.017,0.033,0.000,
1995,8,0.099,0.017,0.033,0.001,
1995,9,0.031,0.018,0.034,0.001,
1995,10,0.027,0.018,0.034,0.002,
1995,11,0.036,0.018,0.035,0.002,
1995,12,0.028,0.019,0.035,0.003,
1996,1,0.091,0.019,0.035,0.003,
1996,2,0.035,0.020,0.036,0.004,
1996,3,0.007,0.020,0.036,0.004,
1996,4,0.048,0.021,0.036,0.005,
1996,5,-0.041,0.021,0.037,0.005,
1996,6,-0.010,0.022,0.037,0.006,
1996,7,0.041,0.022,0.038,0.007,
1996,8,0.017,0.023,0.038,0.007,
1996,9,0.170,0.023,0.038,0.008,
1996,10,0.102,0.023,0.039,0.008,
1996,11,0.074,0.024,0.039,0.009,
1996,12,0.146,0.024,0.040,0.009,
1997,1,0.065,0.025,0.040,0.010,
1997,2,0.074,0.025,0.040,0.010,
1997,3,0.071,0.026,0.041,0.011,
1997,4,0.118,0.026,0.041,0.011,
1997,5,0.008,0.027,0.042,0.012,
1997,6,0.024,0.027,0.042,0.012,
1997,7,0.019,0.027,0.042,0.013,
1997,8,0.006,0.028,0.043,0.013,
1997,9,-0.001,0.028,0.043,0.014,
1997,10,0.006,0.029,0.044,0.014,
1997,11,0.074,0.029,0.044,0.015,
1997,12,0.050,0.030,0.044,0.015,
1998,1,0.105,0.030,0.045,0.016,
1998,2,0.337,0.031,0.045,0.016,
1998,3,0.179,0.031,0.045,0.017,
1998,4,0.106,0.032,0.046,0.017,
1998,5,0.138,0.032,0.046,0.018,
1998,6,0.042,0.032,0.047,0.018,
1998,7,0.026,0.033,0.047,0.019,
1998,8,0.035,0.033,0.047,0.019,
1998,9,0.037,0.034,0.048,0.020,
1998,10,-0.071,0.034,0.048,0.020,
1998,11,-0.042,0.035,0.049,0.021,
1998,12,-0.017,0.035,0.049,0.021,
1999,1,0.009,0.036,0.049,0.022,
1999,2,0.142,0.036,0.050,0.022,
1999,3,0.061,0.037,0.050,0.023,
1999,4,0.036,0.037,0.051,0.023,
1999,5,0.028,0.037,0.051,0.024,
1999,6,-0.014,0.038,0.051,0.024,
1999,7,0.024,0.038,0.052,0.025,
1999,8,0.034,0.039,0.052,0.025,
