"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00093765","2000-04-26","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  167",",,W","  100",",,W","   39",",,W"," 0339",",,W"," 0339",",,W","  133",",,W",,,"  330",",,W","  330",",,W","   72",",,W","   89",",,W",,,,,,,,,,,,
"USW00093765","2000-04-27","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0","T,,W,",,,,,"  194",",,W","   83",",,W","   25",",,W"," 1810",",,W"," 1815",",,W","  139",",,W",,,"   90",",,W","  100",",,W","   54",",,W","   58",",,W",,,,,,,,,,,,
"USW00093765","2000-04-28","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","  419",",,W,",,,,,"  183",",,W","  117",",,W","   34",",,W"," 0905",",,W"," 0905",",,W","  150",",,W",,,"  240",",,W","  250",",,W","  107",",,W","  139",",,W",,,,,,,,,,,,
"USW00093765","2000-04-29","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","   20",",,W,",,,,,"  217",",,W","  122",",,W","   35",",,W"," 0813",",,W"," 0839",",,W","  172",",,W",,,"  330",",,W","  360",",,W","   67",",,W","   76",",,W",,,,,,,,,,,,
"USW00093765","2000-04-30","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  233",",,W","  122",",,W","   41",",,W"," 1435",",,W"," 1435",",,W","  178",",,W",,,"  220",",,W","  230",",,W","   80",",,W","   94",",,W",,,,,,,,,,,,
"USW00093765","2000-05-01","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  239",",,W","  133",",,W","   56",",,W"," 2238",",,W"," 2312",",,W","  189",",,W",,,"  210",",,W","  210",",,W","   98",",,W","  116",",,W",,,,,,,,,,,,
"USW00093765","2000-05-02","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0","T,,W,",,,,,"  239",",,W","  189",",,W","   68",",,W"," 1211",",,W"," 1220",",,W","  217",",,W",,,"  220",",,W","  220",",,W","  112",",,W","  139",",,W",,,,,,,,,,,,
"USW00093765","2000-05-03","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  250",",,W","  156",",,W","   42",",,W"," 1409",",,W"," 1429",",,W","  206",",,W",,,"   20",",,W","   40",",,W","   80",",,W","   98",",,W",,,,,,,,,,,,
"USW00093765","2000-05-04","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  244",",,W","  150",",,W","   30",",,W"," 1001",",,W"," 1027",",,W","  200",",,W",,,"   80",",,W","   80",",,W","   63",",,W","   76",",,W",,,,,,,,,,,,
"USW00093765","2000-05-05","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  244",",,W","  117",",,W","   31",",,W"," 1719",",,W"," 1548",",,W","  183",",,W",,,"  200",",,W","  210",",,W","   67",",,W","   76",",,W",,,,,,,,,,,,
"USW00093765","2000-05-06","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  250",",,W","  189",",,W","   40",",,W"," 1800",",,W"," 1756",",,W","  222",",,W",,,"  220",",,W","  220",",,W","   67",",,W","   76",",,W",,,,,,,,,,,,
"USW00093765","2000-05-07","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  261",",,W","  200",",,W","   48",",,W"," 1811",",,W"," 1840",",,W","  233",",,W",,,"  230",",,W","  220",",,W","   80",",,W","   94",",,W",,,,,,,,,,,,
"USW00093765","2000-05-08","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  250",",,W","  206",",,W","   66",",,W"," 1705",",,W"," 1548",",,W","  228",",,W",,,"  210",",,W","  220",",,W","   98",",,W","  130",",,W",,,,,,,,,,,,
"USW00093765","2000-05-09","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  256",",,W","  206",",,W","   67",",,W"," 1345",",,W"," 1315",",,W","  233",",,W",,,"  220",",,W","  210",",,W","  107",",,W","  134",",,W",,,,,,,,,,,,
"USW00093765","2000-05-10","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  267",",,W","  217",",,W","   75",",,W"," 1550",",,W"," 1742",",,W","  244",",,W",,,"  210",",,W","  220",",,W","  107",",,W","  130",",,W",,,,,,,,,,,,
"USW00093765","2000-05-11","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0","T,,W,",,,,,"  250",",,W","  178",",,W","   37",",,W"," 0012",",,W"," 2357",",,W","  217",",,W",,,"  230",",,W","  230",",,W","   89",",,W","  107",",,W",,,,,,,,,,,,
"USW00093765","2000-05-12","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  267",",,W","  200",",,W","   55",",,W"," 1426",",,W"," 1416",",,W","  233",",,W",,,"  210",",,W","  220",",,W","   89",",,W","  103",",,W",,,,,,,,,,,,
"USW00093765","2000-05-13","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  289",",,W","  228",",,W","   64",",,W"," 1552",",,W"," 1708",",,W","  261",",,W",,,"  230",",,W","  230",",,W","   98",",,W","  116",",,W",,,,,,,,,,,,
"USW00093765","2000-05-14","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  278",",,W","  194",",,W","   47",",,W"," 0846",",,W"," 0844",",,W","  239",",,W",,,"   40",",,W","   30",",,W","   94",",,W","  116",",,W",,,,,,,,,,,,
"USW00093765","2000-05-15","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  239",",,W","  144",",,W","   48",",,W"," 1026",",,W"," 1025",",,W","  194",",,W",,,"   30",",,W","   20",",,W","  107",",,W","  148",",,W",,,,,,,,,,,,
"USW00093765","2000-05-16","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  239",",,W","  117",",,W","   34",",,W"," 1234",",,W"," 1218",",,W","  178",",,W",,,"  110",",,W","  120",",,W","   63",",,W","   76",",,W",,,,,,,,,,,,
"USW00093765","2000-05-17","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  256",",,W","  206",",,W","   52",",,W"," 1529",",,W"," 1314",",,W","  233",",,W",,,"  210",",,W","  190",",,W","   89",",,W","  112",",,W",,,,,,,,,,,,
"USW00093765","2000-05-18","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  261",",,W","  211",",,W","   60",",,W"," 2301",",,W"," 2148",",,W","  239",",,W",,,"  210",",,W","  210",",,W","   89",",,W","  107",",,W",,,,,,,,,,,,
"USW00093765","2000-05-19","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  261",",,W","  217",",,W","   71",",,W"," 1225",",,W"," 1249",",,W","  239",",,W",,,"  210",",,W","  220",",,W","  107",",,W","  134",",,W",,,,,,,,,,,,
"USW00093765","2000-05-20","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  278",",,W","  222",",,W","   63",",,W"," 1305",",,W"," 1313",",,W","  250",",,W",,,"  210",",,W","  220",",,W","   98",",,W","  116",",,W",,,,,,,,,,,,
"USW00093765","2000-05-21","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  272",",,W","  222",",,W","   46",",,W"," 1437",",,W"," 1359",",,W","  250",",,W",,,"  210",",,W","  210",",,W","   89",",,W","  107",",,W",,,,,,,,,,,,
"USW00093765","2000-05-22","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","  361",",,W,",,,,,"  261",",,W","  178",",,W","   61",",,W"," 2228",",,W"," 2230",",,W","  222",",,W",,,"  340",",,W","  340",",,W","  161",",,W","  197",",,W",,,,,,,,,,,,
"USW00093765","2000-05-23","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  256",",,W","  189",",,W","   38",",,W"," 2344",",,W"," 2353",",,W","  222",",,W",,,"  210",",,W","  220",",,W","   80",",,W","  103",",,W",,,,,,,,,,,,
"USW00093765","2000-05-24","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    0",",,W,",,,,,"  289",",,W","  233",",,W","   66",",,W"," 1552",",,W"," 1544",",,W","  261",",,W",,,"  220",",,W","  230",",,W","   98",",,W","  112",",,W",,,,,,,,,,,,
"USW00093765","2000-05-25","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","    8",",,W,",,,,,"  289",",,W","  228",",,W","   55",",,W"," 1451",",,W"," 1500",",,W","  261",",,W",,,"  220",",,W","  230",",,W","   98",",,W","  112",",,W",,,,,,,,,,,,
"USW00093765","2000-05-26","34.73258","-76.65659","1.5","BEAUFORT MICHAEL J. SMITH FIELD, NC US","   71",",,W,",,,,,"  283",",,W","  200",",,W","   30",",,W"," 0023",",,W"," 0009",",,W","  244",",,W",,,"  280",",,W","  230",",,W","   72",",,W","   89",",,W",,,,,,,,,,,,
