Hurricane,Date,Max Wind Speed
Gloria,9/26/1985,144
Kate,11/22/1985,123
Bob,8/19/1991,115
Emily,8/31/1993,115
Bertha,7/13/1996,115
Fran,9/10/1996,121
Bonnie,8/31/1998,115
Earl,9/8/1998,98
Dennis,9/14/1999,104
Floyd,9/16/1999,155
Isabel,9/18/2003,160
Alex,8/3/2004,115
Ophelia,9/16/2005,85
Earl,9/5/2005,145
Irene,8/28/2011,120
Sandy,10/31/1012,70
Arthur,7/3/2014,101
Hermine,9/3/2016,73
Matthew,10/9/2016,94
Maria,9/27/2017,75
Florence,9/15/2018,129
Michael,10/12/2018,74
Dorian,9/6/2019,101
Isaias,8/3/2020,72
