"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00316349","1957-05-16","35.1075","-75.9872","1.2","OCRACOKE, NC US","    0",",,0,1700","    0",",,0,","    0",",,0,","  272",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00316349","1957-05-17","35.1075","-75.9872","1.2","OCRACOKE, NC US","    0",",,0,1700","    0",",,0,","    0",",,0,","  250",",,0","  194",",,0",,,,,"  233",",,0,1700",,,,,,,,,,,,,,
"USC00316349","1957-05-18","35.1075","-75.9872","1.2","OCRACOKE, NC US","    0",",,0,1700","    0",",,0,","    0",",,0,","  294",",,0","  211",",,0",,,,,"  250",",,0,1700",,,,,,,,,,,,,,
"USC00316349","1957-05-19","35.1075","-75.9872","1.2","OCRACOKE, NC US","   58",",,0,1700","    0",",,0,","    0",",,0,","  294",",,0","  206",",,0",,,,,"  244",",,0,1700",,,,,,,,,,,,,,
"USC00316349","1957-05-20","35.1075","-75.9872","1.2","OCRACOKE, NC US","   69",",,0,1700","    0",",,0,","    0",",,0,","  294",",,0","  211",",,0",,,,,"  250",",,0,1700",,,,,,,,,,,,,,
"USC00316349","1957-05-21","35.1075","-75.9872","1.2","OCRACOKE, NC US","    0",",,0,1700","    0",",,0,","    0",",,0,","  283",",,0","  172",",,0",,,,,"  172",",,0,1700",,,,,,,,,,,,,,
"USC00316349","1957-05-22","35.1075","-75.9872","1.2","OCRACOKE, NC US","    0",",,0,1700","    0",",,0,","    0",",,0,","  278",",,0","  156",",,0",,,,,"  244",",,0,1700",,,,,,,,,,,,,,
"USC00316349","1957-05-23","35.1075","-75.9872","1.2","OCRACOKE, NC US","    0",",,0,1700","    0",",,0,","    0",",,0,","  283",",,0","  222",",,0",,,,,"  250",",,0,1700",,,,,,,,,,,,,,
"USC00316349","1957-05-24","35.1075","-75.9872","1.2","OCRACOKE, NC US","    0",",,0,1700","    0",",,0,","    0",",,0,","  344",",,0","  228",",,0",,,,,"  244",",,0,1700",,,,,,,,,,,,,,
"USC00316349","1957-05-25","35.1075","-75.9872","1.2","OCRACOKE, NC US","    0",",,0,1700","    0",",,0,","    0",",,0,","  344",",,0","  228",",,0",,,,,"  261",",,0,1700",,,,,,,,,,,,,,
