Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP,SNOW (Inches),SNWD (Inches)
10/8/2011,,,,0,0,
10/9/2011,,,,,,
10/10/2011,,,,,,
10/11/2011,,,,,,
10/12/2011,,,,,,
10/13/2011,,,,,,
10/14/2011,,,,,,
10/15/2011,,,,,,
10/16/2011,,,,,,
10/17/2011,,,,,,
10/18/2011,,,,,,
10/19/2011,,,,,,
10/20/2011,,,,,,
10/21/2011,,,,,,
10/22/2011,,,,,,
10/23/2011,,,,,,
10/24/2011,,,,,,
10/25/2011,,,,,,
10/26/2011,,,,,,
10/27/2011,,,,,,
10/28/2011,,,,,,
10/29/2011,,,,,,
10/30/2011,,,,,,
10/31/2011,,,,,,
11/1/2011,,,,,,
11/2/2011,,,,,,
11/3/2011,,,,,,
11/4/2011,,,,,,
11/5/2011,,,,,,
11/6/2011,,,,,,
11/7/2011,,,,,,
11/8/2011,,,,,,
11/9/2011,,,,,,
11/10/2011,,,,,,
11/11/2011,,,,,,
11/12/2011,,,,,,
11/13/2011,,,,,,
11/14/2011,,,,,,
11/15/2011,,,,,,
11/16/2011,,,,,,
11/17/2011,,,,,,
11/18/2011,,,,,,
11/19/2011,,,,,,
11/20/2011,,,,,,
11/21/2011,,,,,,
11/22/2011,,,,,,
11/23/2011,,,,,,
11/24/2011,,,,,,
11/25/2011,,,,,,
11/26/2011,,,,,,
11/27/2011,,,,,,
11/28/2011,,,,,,
11/29/2011,,,,,,
11/30/2011,,,,,,
12/1/2011,,,,,,
12/2/2011,,,,,,
12/3/2011,,,,,,
12/4/2011,,,,,,
12/5/2011,,,,,,
12/6/2011,,,,,,
12/7/2011,,,,,,
12/8/2011,,,,,,
12/9/2011,,,,,,
12/10/2011,,,,,,
12/11/2011,,,,,,
12/12/2011,,,,,,
12/13/2011,,,,,,
12/14/2011,,,,,,
12/15/2011,,,,,,
12/16/2011,,,,,,
12/17/2011,,,,,,
12/18/2011,,,,,,
